TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,MP;InHg,TEMP COMP;*F,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,OIL P;PSI,OIL P    ANN;PSI,OIL T;*F,OIL T    ANN;*F,HP;%,FLT;HRS,TACH;HRS,ENG;HRS,EST  TOTAL;GAL,EST F;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,GPS Altitude,Gnd Speed,Wpt,Dist to Wpt,Dist to Dest,Latitude,Longitude
08:22:09,TOTAL   : 11.52,0,0,0,29.8,67,0.0,55,54,55,55,47,1,47,45,45,45,45,37,1,37,0,0,46,46,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:09,TOTAL   : 11.52,0,0,0,29.8,75,0.0,63,62,63,63,55,1,55,53,54,53,53,45,1,45,0,0,54,54,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:10,TOTAL   : 11.52,0,0,0,29.8,75,0.0,63,62,63,63,63,1,63,59,60,59,59,54,1,54,0,0,60,60,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:10,TOTAL   : 11.52,0,0,0,29.8,75,0.0,62,63,63,63,63,1,63,61,62,62,62,60,1,60,0,0,63,63,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:10,TOTAL   : 11.52,0,0,0,29.8,75,0.0,62,63,63,63,63,1,63,61,62,62,62,60,1,60,0,0,63,63,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:11,TOTAL   : 11.52,0,0,0,29.8,75,0.0,63,63,63,64,63,1,63,62,62,62,62,62,1,62,0,0,63,63,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:11,TOTAL   : 11.52,0,0,0,29.8,75,0.0,63,63,63,63,64,1,64,62,62,62,62,62,0,62,0,0,63,63,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:11,TOTAL   : 11.52,0,0,0,29.8,75,0.0,63,63,63,63,63,0,63,62,62,61,62,62,0,62,0,0,63,63,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:12,TOTAL   : 11.52,0,0,0,29.8,75,0.0,63,63,63,63,63,0,63,62,62,61,62,62,1,62,0,0,63,63,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
08:22:12,TOTAL   : 11.52,0,0,0,29.8,75,0.0,63,63,63,63,63,0,63,62,62,61,62,62,1,62,0,0,63,63,0,  0.00,1459.33, 10.69,11.5,11.5,0.0,0.0,0.0,11.5,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,28.6,0.0,0.0,359940.0,100.0,11.5,    0,   0,     ,   0.0,   0.0,  00 0.00,  000 0.00
