Version,Tick,Date,Time,Latitude,Longitude,Ground Speed,Track,Magnetic Variation,GPS Altitude,Desired Track,Cross Track Error,Roll,Pitch,Magnetic Heading,Magnetic Field Heading,Pressure Altitude,Indicated Altitude,Vertical Speed,Density Altitude,Indicated Airspeed,True Airspeed,Normal Acceleration,OAT,Wind Speed,Wind Direction,RPM1/N1,RPM2/N2,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,Fuel Flow,Fuel Total,Carb Temp,Oil Temp,Oil Pressure,Coolant Temp,Hourmeter,EIS Volts,Aux1,Aux2,Aux3,Aux4,Aux5,Aux6,Internal MAP,R-N1,R-N2,Analog1,Analog2,Analog3,Analog4,Analog5,Analog6,Analog7,Analog8,Volts1,Volts2,Volts3
2,22407,2025-11-15,15:33:48,,,,,,,,,,,,,436,418,121,1058,,,1.003,67,,,1114,1114,77,76,75,75,72,66,1219,1254,1302,1391,1279,121,7.1,12.3,-50,63,96,59,417.1,13.8,22.2,14.9,14.9,20.7,314,314,,,,,,,,,,,,13.8,13.8,
2,23406,2025-11-15,15:33:49,,,,,,,,,,,,,436,418,73,1058,,,1.002,67,,,1150,1148,78,76,76,76,72,66,1232,1254,1310,1392,1286,123,7,12.3,-50,63,96,59,417.1,13.8,22.1,14.9,14.9,20.6,314,314,,,,,,,,,,,,13.93,13.94,
2,24407,2025-11-15,15:33:50,,,,,,,,,,,,,436,418,57,1058,,,1.003,67,,,1214,1212,79,78,77,77,73,67,1238,1254,1318,1392,1287,123,7,12.3,-50,63,95,59,417.1,14,21.8,14.9,14.9,20.7,314,314,,,,,,,,,,,,14.17,14.14,
2,25406,2025-11-15,15:33:51,,,,,,,,,,,,,435,417,48,1057,,,1.016,67,,,1230,1230,80,78,78,77,74,67,1242,1255,1331,1404,1294,123,6.8,12.3,-50,63,93,59,417.1,14.1,21.5,14.9,14.9,20.8,314,314,,,,,,,,,,,,14.07,14.08,
2,26406,2025-11-15,15:33:52,,,,,,,,,,,,,435,417,34,1057,,,1.013,67,,,1188,1188,80,79,79,78,75,68,1253,1258,1341,1411,1303,124,6.7,12.3,-50,63,92,59,417.1,14.1,21.5,14.9,14.9,20.9,314,314,,,,,,,,,,,,13.89,13.89,
2,27407,2025-11-15,15:33:53,,,,,,,,,,,,,435,417,24,1057,,,1.008,67,,,1166,1166,81,80,80,79,75,69,1259,1258,1341,1412,1305,124,6.6,12.3,-50,63,91,59,417.1,14,21.7,14.9,14.9,21,314,314,,,,,,,,,,,,13.96,13.98,
2,28406,2025-11-15,15:33:54,,,,,,,,,,,,,435,417,2,1057,,,1.002,67,,,1184,1184,82,81,81,80,76,69,1263,1258,1348,1402,1305,124,6.6,12.3,-50,63,92,59,417.1,14.1,21.6,14.9,14.9,21,314,314,,,,,,,,,,,,14.18,14.19,
2,29407,2025-11-15,15:33:55,,,,,,,,,,,,,435,417,1,1057,,,0.987,67,,,1266,1266,83,82,82,81,77,70,1263,1261,1354,1404,1305,124,6.7,12.3,-50,63,92,59,417.1,14.2,21.3,14.9,14.9,21.1,314,314,,,,,,,,,,,,14.19,14.18,
2,30406,2025-11-15,15:33:56,,,,,,,,,,,,,435,417,1,1057,,,0.992,67,,,1298,1298,84,83,83,82,78,70,1263,1264,1365,1407,1305,124,6.6,12.3,-50,63,92,59,417.1,14.2,20.9,14.9,14.9,21.2,314,314,,,,,,,,,,,,14.2,14.19,
2,31406,2025-11-15,15:33:57,,,,,,,,,,,,,435,417,22,1057,,,1.001,67,,,1266,1264,85,84,83,83,79,71,1266,1266,1376,1404,1314,124,6.5,12.3,-50,63,92,59,417.1,14.2,20.9,14.8,14.9,21.2,314,314,,,,,,,,,,,,14.2,14.21,
